FID,DC_NUM,DC_KEY,LOCATION_B,THEFT_DATE,THEFT_YEAR,DC_DIST,STOLEN_VAL,THEFT_HOUR,UCR,X,Y,GlobalID,x2,y2
1,064765,201403064765,800 BLOCK WASHINGTON AV,10/26/2014 12:00:00 AM,2014,03,1400,14,615,-75.15690499,39.93599686,397480b8-714c-4270-b2ae-a5b39da7766e,-119.642001023439,45.7966046772721
2,064788,201403064788,1100 BLOCK S CHRISTOPHER COLUMBUS BLVD,10/26/2014 12:00:00 AM,2014,03,500,16,615,-75.1439907,39.93214797,31b1cbda-5b63-430d-a1b3-716a1ebced9d,-119.636013182676,45.7970402593104
3,065308,201403065308,1200 BLOCK S 13TH ST,10/28/2014 12:00:00 AM,2014,03,600,17,615,-75.16522336,39.93459622,6f639a56-7a46-4196-b8f9-942666edb6d6,-119.64485361068,45.7949559725903
4,065543,201403065543,600 BLOCK PEMBERTON ST,10/29/2014 12:00:00 AM,2014,03,400,15,615,-75.15345256,39.94050435,57921c53-52c3-49eb-945c-193e53745c86,-119.641833337589,45.7986733818804
5,065620,201403065620,700 BLOCK W MOYAMENSING AV,10/29/2014 12:00:00 AM,2014,03,325,20,615,-75.15867883,39.92065171,3be2ef6c-8fc3-4549-b401-22c9789c173a,-119.638715508429,45.7909481523776
6,065799,201403065799,2500 BLOCK S FRANKLIN ST,10/30/2014 12:00:00 AM,2014,03,150,16,625,-75.16051659,39.91720397,17e8c4fe-052a-4bf5-bc88-d7526f971fde,-119.638533755248,45.7894776055177
7,066820,201403066820,200 BLOCK HALL ST,11/3/2014 12:00:00 AM,2014,03,50,21,625,-75.14763995,39.93518833,283ece9f-9b2e-4304-b295-c6c368fa9837,-119.638210590118,45.7976057527112
8,066961,201403066961,700 BLOCK S 04TH ST,11/4/2014 12:00:00 AM,2014,03,370,17,615,-75.14980077,39.93862648,13b5a857-75b3-451b-a73b-cfb3f2be752e,-119.63993571187,45.7985181432239
9,067185,201403067185,1400 BLOCK S 06TH ST,11/5/2014 12:00:00 AM,2014,03,300,19,615,-75.15485952,39.93042146,84fb36cf-08f4-4c76-9322-aba3c3bf6952,-119.639767419747,45.7949227751765
10,016015,201405016015,500 BLOCK MARTIN ST,9/21/2014 12:00:00 AM,2014,05,1000,17,615,-75.21224563,40.03294581,48dc6e0d-216b-43d9-b056-06175bd4ba18,-119.688522840717,45.8231219042285
11,016117,201405016117,4600 BLOCK FLAT ROCK RD,9/23/2014 12:00:00 AM,2014,05,650,18,615,-75.23157373,40.02866261,c570f0f8-df96-4f77-b64b-9a1c7290f9c6,-119.694882437632,45.8189239806583
12,016219,201405016219,4400 BLOCK SILVERWOOD ST,9/25/2014 12:00:00 AM,2014,05,1200,12,615,-75.2221846,40.02779652,2ecbdc38-6e36-4811-b357-b639c6f36758,-119.691028296301,45.8199231388092
13,016237,201405016237,3800 BLOCK TERRACE ST,9/25/2014 12:00:00 AM,2014,05,1000,16,615,-75.21258279,40.02034268,a22fbcf9-fe30-4a6e-a14d-83dcd836a970,-119.685382170891,45.8186265657244
14,016426,201405016426,200 BLOCK SHAWMONT AV,9/28/2014 12:00:00 AM,2014,05,640,12,615,-75.24504123,40.04964888,6cf52989-6b7e-4e40-a00a-80ce2e23e455,-119.705537623675,45.824460270685
15,016429,201405016429,100 BLOCK ROCHELLE AV,9/28/2014 12:00:00 AM,2014,05,0,13,635,-75.20751287,40.01700148,2b028bdb-6c0c-4db2-a845-4c4c6974c7ef,-119.682555369416,45.8181518039299
16,017659,201405017659,400 BLOCK LEVERINGTON AV,10/17/2014 12:00:00 AM,2014,05,1,17,635,-75.21864617,40.03504158,da229bcd-55f6-41fa-a65a-ddcc800237fe,-119.691541173606,45.8229722493566
17,065596,201418065596,4000 BLOCK BALTIMORE AV,10/20/2014 12:00:00 AM,2014,18,350,16,615,-75.20370036,39.94996515,18caa08c-497f-4d26-88d2-46caea3845ec,-119.663703569147,45.7950322497222
18,018601,201405018601,4600 BLOCK FLAT ROCK RD,11/2/2014 12:00:00 AM,2014,05,875,14,615,-75.23287245,40.0297316,1eef99c4-9ff9-4c3d-9576-bd2eb387b2a3,-119.695661935261,45.8191207945194
19,065640,201418065640,4800 BLOCK BALTIMORE AV,10/20/2014 12:00:00 AM,2014,18,500,20,615,-75.22070138,39.94818362,f629820b-3907-4aad-ad43-63b5d86791b1,-119.669812041067,45.7920425658389
20,041937,201406041937,1300 BLOCK MARKET ST,9/16/2014 12:00:00 AM,2014,06,225,14,615,-75.16146926,39.95206205,37aa1add-176c-4fd9-88fe-c12d5663aba4,-119.647924424147,45.8016362423661
21,065820,201418065820,3400 BLOCK SANSOM ST,10/21/2014 12:00:00 AM,2014,18,250,17,615,-75.19328673,39.95370283,6ebf047f-ed28-4ad4-86ed-8327485d1025,-119.66064710149,45.7977966505137
22,041955,201406041955,1100 BLOCK FILBERT ST,9/16/2014 12:00:00 AM,2014,06,175,16,625,-75.15812048,39.95271796,9911043a-c3b0-45e7-b84c-eecc8fcd6692,-119.646799839209,45.8023325136025
23,041994,201406041994,1000 BLOCK LOCUST ST,9/16/2014 12:00:00 AM,2014,06,600,20,615,-75.15768381,39.94731077,f06d46a1-a19a-42b6-b328-56223f0ae8d5,-119.64523094997,45.8004861967802
24,066016,201418066016,400 BLOCK S 43RD ST,10/22/2014 12:00:00 AM,2014,18,400,15,615,-75.20939344,39.95130906,863db2e8-a8e3-479a-947d-5a995d63ab54,-119.666251778021,45.7947154161323
25,042258,201406042258,1000 BLOCK FILBERT ST,9/18/2014 12:00:00 AM,2014,06,150,14,625,-75.15654467,39.95252772,340fd197-7a57-4391-8500-6aa7bed78ed1,-119.646141455033,45.8024842005841
26,042294,201406042294,100 BLOCK S 11TH ST,9/18/2014 12:00:00 AM,2014,06,800,17,615,-75.15864794,39.94981471,db4ead1e-0112-4fbd-bb13-974923bf1c24,-119.646251949824,45.8012353853478
27,066286,201418066286,3100 BLOCK LUDLOW ST,10/23/2014 12:00:00 AM,2014,18,2000,20,615,-75.18635005,39.95436089,867a40b7-2f6d-4dab-b16a-1911a844b304,-119.658136593715,45.7989920800896
28,042495,201406042495,S 11TH ST / WALNUT ST,9/19/2014 12:00:00 AM,2014,06,300,16,615,-75.15895211,39.9486795,2c55e65b-9cc9-4e71-8fba-9de6233a95c6,-119.646075580712,45.8007928063303
29,066995,201418066995,4200 BLOCK REGENT SQ,10/26/2014 12:00:00 AM,2014,18,300,9,615,-75.20820805,39.94749336,15b3bc9a-4161-4575-bc93-1c5de09da720,-119.664805380928,45.7935345362734
30,042699,201406042699,200 BLOCK FAIRMOUNT AV,9/20/2014 12:00:00 AM,2014,06,200,16,615,-75.14220181,39.96218557,75acc9c2-d4d8-4d01-89e4-b1ee90b923a0,-119.643098082427,45.8078818173785
31,067003,201418067003,3900 BLOCK PINE ST,10/26/2014 12:00:00 AM,2014,18,650,11,615,-75.20190115,39.95047502,51128267-dc73-444c-9fc2-cbd0aa069bd1,-119.66314030085,45.7954619427895
32,043296,201406043296,400 BLOCK S 09TH ST,9/24/2014 12:00:00 AM,2014,06,200,10,615,-75.15680121,39.94398677,6a45edba-b1cd-4c68-92b2-5e80574a3a01,-119.644029207874,45.7994365240835
33,067157,201418067157,500 BLOCK S 48TH ST,10/27/2014 12:00:00 AM,2014,18,300,10,615,-75.21894037,39.9500442,05134e15-1112-4bcc-96c7-536642212c29,-119.669613475478,45.7929432679754
34,043380,201406043380,1300 BLOCK CHESTNUT ST,9/24/2014 12:00:00 AM,2014,06,100,17,625,-75.16180807,39.95055394,0009fdfa-a35b-4a10-a116-4e175751ee5a,-119.647664863558,45.8010573378492
35,043385,201406043385,1300 BLOCK MARKET ST,9/24/2014 12:00:00 AM,2014,06,300,17,615,-75.16146926,39.95206205,ed28b258-4b1c-425b-8bf6-9efbfc893007,-119.647924424147,45.8016362423661
36,067350,201418067350,3600 BLOCK LOCUST WALK,10/28/2014 12:00:00 AM,2014,18,425,7,615,-75.19549655,39.95202734,74e0267c-59c9-4cd3-8efc-953088a40fa0,-119.661067183213,45.7968988769492
37,043409,201406043409,100 BLOCK N 12TH ST,9/24/2014 12:00:00 AM,2014,06,600,20,615,-75.15946353,39.95401321,d372f4c8-0ec9-4e00-b0a2-fa7a1b17b8e1,-119.647654395556,45.8026028562358
38,043650,201406043650,1200 BLOCK WALNUT ST,9/26/2014 12:00:00 AM,2014,06,93,12,625,-75.161385,39.94894354,e0580e32-ba87-44c2-9133-a67707e68bd5,-119.647084342981,45.8005481463129
39,043678,201406043678,200 BLOCK FAIRMOUNT AV,9/26/2014 12:00:00 AM,2014,06,800,14,615,-75.14186967,39.96201814,5e89828a-80e1-47df-a51d-5a8ecae5a3f0,-119.642926319123,45.807868869304
40,067562,201418067562,400 BLOCK S 40TH ST,10/28/2014 12:00:00 AM,2014,18,850,21,615,-75.20330052,39.95044951,36c651a0-c3e3-481c-a649-8952c77e3ffa,-119.663674498258,45.7952585865988
41,043684,201406043684,200 BLOCK S 05TH ST,9/26/2014 12:00:00 AM,2014,06,300,14,615,-75.14960275,39.94678471,4c21d63c-cf96-4098-bc7b-9c204aab7aff,-119.641971092486,45.8014225635738
42,067676,201418067676,4200 BLOCK CHESTER AV,10/29/2014 12:00:00 AM,2014,18,300,12,615,-75.2073379,39.94851163,27e70182-ad1a-4fa4-b339-bce8f5d10bb5,-119.664732840889,45.7940144615369
43,043874,201406043874,1300 BLOCK WALNUT ST,9/27/2014 12:00:00 AM,2014,06,400,16,615,-75.16214032,39.94904106,96d481e1-09d9-4bb6-baeb-76c730216954,-119.647401549531,45.8004776684194
44,044365,201406044365,200 BLOCK S BROAD ST,9/30/2014 12:00:00 AM,2014,06,700,15,615,-75.16421001,39.94893589,2a77f1a8-226c-41f5-83cb-282870fb61c2,-119.648174306872,45.8001532169049
45,067682,201418067682,0 BLOCK S 33RD ST,10/29/2014 12:00:00 AM,2014,18,500,12,615,-75.18944032,39.95557435,daa37e9f-d753-42b9-bf6d-cefa5d635633,-119.659645271101,45.7989908606726
46,044389,201406044389,1100 BLOCK FILBERT ST,9/30/2014 12:00:00 AM,2014,06,200,18,615,-75.15812048,39.95271796,f112f31b-c7a5-4275-8c40-ec6965789dbf,-119.646799839209,45.8023325136025
47,044616,201406044616,1300 BLOCK MOUNT VERNON ST,10/1/2014 12:00:00 AM,2014,06,400,19,615,-75.15941226,39.96387511,83cd4a35-d524-41c5-b319-131ae786d593,-119.650188762648,45.8060883249381
48,067816,201418067816,3900 BLOCK PINE ST,10/29/2014 12:00:00 AM,2014,18,100,22,625,-75.20171494,39.9505368,0d564dc8-36c9-4ae0-afd0-abaf44a89258,-119.663084340294,45.7955095920568
49,045090,201406045090,1100 BLOCK FILBERT ST,10/4/2014 12:00:00 AM,2014,06,1200,10,615,-75.15875683,39.95289258,d796174a-01c9-4e25-bd86-703f09771e70,-119.64709103239,45.8023057485022
50,045096,201406045096,1200 BLOCK ARCH ST,10/4/2014 12:00:00 AM,2014,06,250,11,615,-75.15949299,39.95392692,12df065e-c68a-4020-822b-1e0cecf9a328,-119.647643438413,45.8025683342514
51,068029,201418068029,S 59TH ST / MARKET ST,10/30/2014 12:00:00 AM,2014,18,300,21,615,-75.23878686,39.96172431,1e898e95-a4a5-4745-bc75-379759cae82d,-119.680308818892,45.7943049728951
52,045114,201406045114,400 BLOCK S BROAD ST,10/4/2014 12:00:00 AM,2014,06,60,14,625,-75.16495114,39.94552979,ee012157-888d-49e2-acbe-4aa0b32de3cc,-119.647578845094,45.7988491527057
53,068077,201418068077,4200 BLOCK WALNUT ST,10/30/2014 12:00:00 AM,2014,18,300,23,615,-75.20757378,39.95478364,bf804708-eacd-487d-987f-63ef0cba7604,-119.666448600679,45.796193460359
54,068089,201418068089,3400 BLOCK CIVIC CENTER BLVD,10/31/2014 12:00:00 AM,2014,18,800,0,615,-75.19325262,39.94798909,3ef1fc61-aa35-43fa-b47c-9dcc24db5efb,-119.659154084494,45.795786457421
55,068835,201418068835,4000 BLOCK WALNUT ST,11/2/2014 12:00:00 AM,2014,18,80,20,625,-75.2028999,39.95411698,0422e97d-207f-4f20-a92e-4b6a4eadf7da,-119.664469626036,45.7966075491193
56,069216,201418069216,4400 BLOCK SANSOM ST,11/4/2014 12:00:00 AM,2014,18,500,18,615,-75.21002427,39.95578151,a56beff5-a52c-4d05-a794-de2a03d3f9a5,-119.667654109015,45.7962049872795
57,045408,201406045408,400 BLOCK RANSTEAD ST,10/6/2014 12:00:00 AM,2014,06,400,11,615,-75.14829506,39.94948679,2fd775d5-60a1-4f18-bd2f-40b7d672088b,-119.642165184093,45.8025570352532
58,069225,201418069225,3900 BLOCK IRVING ST,11/4/2014 12:00:00 AM,2014,18,920,19,615,-75.20095906,39.95210375,6ed6ca34-ce09-4ec0-950f-78ae60c23b7c,-119.66319807761,45.7961671510262
59,045430,201406045430,800 BLOCK N ORIANNA ST,10/6/2014 12:00:00 AM,2014,06,1300,14,615,-75.14368617,39.964208,6415d8ee-5bcb-48c4-8aba-7329133a7c7b,-119.644195716454,45.8083891310501
60,045501,201406045501, 800 SPRUCE ST,10/7/2014 12:00:00 AM,2014,06,800,0,615,-75.15479581,39.94570035,becf809e-a4a6-4e13-a1ce-0f4085cf6e44,-119.643697690773,45.8003192235277
