RACK_TYPE,BIKE_COUNT,LAT,LNG
Staple or Inverted-U,2.0,39.9544914675,-75.1714638714
Converted Parking Meter,2.0,39.9562532594,-75.1709820799
Converted Parking Meter,1.0,39.9545892423,-75.1487575468
Staple or Inverted-U,2.0,39.9567885701,-75.1707621391
Converted Parking Meter,2.0,39.9567885701,-75.1707621391
Staple or Inverted-U,2.0,39.956900091,-75.1707517446
Converted Parking Meter,2.0,39.9569207941,-75.1706935748
Converted Parking Meter,1.0,39.9544026611,-75.1464333289
Staple or Inverted-U,2.0,39.9571327724,-75.1708698455
Staple or Inverted-U,2.0,39.9571507941,-75.1708519925
Staple or Inverted-U,2.0,39.9571507941,-75.1708519925
Staple or Inverted-U,2.0,39.9571749756,-75.1708557649
Staple or Inverted-U,2.0,39.9571666776,-75.1708652357
Staple or Inverted-U,2.0,39.9541128311,-75.1452489689
Staple or Inverted-U,2.0,39.9540838428,-75.1450068472
Staple or Inverted-U,2.0,39.9573170488,-75.1722961102
Staple or Inverted-U,2.0,39.9574093756,-75.1723285491
Staple or Inverted-U,2.0,39.9573962579,-75.1723360928
Staple or Inverted-U,2.0,39.957302883,-75.1724605635
Staple or Inverted-U,2.0,39.9572649556,-75.1724763214
Converted Parking Meter,2.0,39.9580151357,-75.1722471609
Converted Parking Meter,2.0,39.9580161415,-75.172151858
Converted Parking Meter,2.0,39.9582318497,-75.1721194196
Converted Parking Meter,2.0,39.9583443347,-75.1721051714
Converted Parking Meter,2.0,39.9585089553,-75.1720050073
Staple or Inverted-U,2.0,39.9549369235,-75.1525786898
Staple or Inverted-U,2.0,39.9585781479,-75.1720515267
Staple or Inverted-U,2.0,39.9586109628,-75.1722909972
Staple or Inverted-U,2.0,39.9585958339,-75.1723106114
Staple or Inverted-U,2.0,39.9540213195,-75.1452097509
Staple or Inverted-U,2.0,39.9539978019,-75.1449564766
Staple or Inverted-U,2.0,39.953899102,-75.1442217782
Converted Parking Meter,1.0,39.9539496262,-75.1445542985
Converted Parking Meter,1.0,39.9538639511,-75.1439384849
Staple or Inverted-U,2.0,39.9538118546,-75.1435719013
Staple or Inverted-U,2.0,39.9537906479,-75.1434307168
Staple or Inverted-U,2.0,39.9537759865,-75.1431913757
Wave,4.0,39.9549722934,-75.1507557091
Wave,4.0,39.954978771,-75.1508032341
Wave,4.0,39.9549025502,-75.150162941
Wave,4.0,39.9548992918,-75.1501186004
Staple or Inverted-U,2.0,39.9545697955,-75.1496907563
Staple or Inverted-U,2.0,39.9545914241,-75.1498675138
Staple or Inverted-U,2.0,39.954580781,-75.149808628
Staple or Inverted-U,2.0,39.9545835598,-75.1497465803
Converted Parking Meter,1.0,39.9545808704,-75.1486759079
Converted Parking Meter,1.0,39.954559097,-75.1483964554
Staple or Inverted-U,2.0,39.9541247056,-75.1453662292
Converted Parking Meter,1.0,39.9540919693,-75.1450933977
Converted Parking Meter,2.0,39.9538067179,-75.1435488235
Staple or Inverted-U,2.0,39.9537632532,-75.1431133782
Converted Parking Meter,1.0,39.9540323906,-75.1452821837
Converted Parking Meter,2.0,39.9541038489,-75.1458599552
Converted Parking Meter,1.0,39.9545331357,-75.1464160723
Street Corral,8.0,39.9540973375,-75.1636101981
Street Corral,8.0,39.9539171502,-75.1636542289
Wave,16.0,39.9537749343,-75.1636906184
Street Corral,10.0,39.9539073738,-75.1648069275
Staple or Inverted-U,2.0,39.9555675095,-75.1645300171
Staple or Inverted-U,6.0,39.9566138019,-75.164412757
Staple or Inverted-U,4.0,39.9568233498,-75.1642963605
Staple or Inverted-U,2.0,39.956836086,-75.1644383732
Staple or Inverted-U,8.0,39.9568852484,-75.1646099784
Staple or Inverted-U,14.0,39.9569529071,-75.1647560974
Wave,10.0,39.9576362652,-75.1644017267
School Yard,18.0,39.9586247008,-75.1634099659
Converted Parking Meter,2.0,39.9569638819,-75.1627049419
Converted Parking Meter,2.0,39.9568097561,-75.1627417898
Staple or Inverted-U,2.0,39.9563020701,-75.1634859986
Staple or Inverted-U,2.0,39.9561170334,-75.1628920783
Converted Parking Meter,2.0,39.9557778177,-75.1629669498
Staple or Inverted-U,8.0,39.9530396054,-75.1639602227
Staple or Inverted-U,6.0,39.9529210223,-75.1629301352
Staple or Inverted-U,4.0,39.9517598956,-75.1636108915
Staple or Inverted-U,4.0,39.9508903441,-75.1642185793
Staple or Inverted-U,2.0,39.9508899452,-75.1643595318
Staple or Inverted-U,2.0,39.9509109435,-75.1645507787
Staple or Inverted-U,2.0,39.9509870947,-75.1645447834
Staple or Inverted-U,2.0,39.9510015849,-75.1646588402
