STATUS,ASSET_ID,ASSET_NAME,ASSET_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_,SHAREBLDG1,ASSET_GROU,ASSET_GR_1,ASSET_TYPE,ASSET_SUBT,ASSET_SU_1,ASSET_SU_2,CITYOWNED,CITYUSE_DE,OCCUPANT,MAINTAINED,OPA_ID,OPA_OWNER,BLDG_SQFT,BLDG_SQFTU,BLDG_FL,BLDG_YR,SITE_ACRES,SERVING_TY,PCPC_DIST,COUNCIL_DI,EDITNOTE1,EDITNOTE2,EDITDATE,EDITSOURCE,EDITSOUR_1,EDITOR,TBD_PARK,BLDG_AGE,COUNCIL__1,NOT_PUBLIC,URL,SITE_CODE2,LAT,LNG
A,146,Police Internal Affairs,7790 Dungan Road,Police Internal Affairs & Fuel Site 043,11121E,0, ,A13,A13.2,B1,C45, ,Police Operations\Unit,Y,Owned,POLICE,DPP,786113240,CITY OF PHILADELPHIA,5775.0,100,1,0,2.17000007,M,Central Northeast,10.0,Internal Affairs/Office of Professional Responsibility/Drug Screening/EEO/Internal Investigation, ,2012-06-01 00:00:00,Dept per MDO request. PICA 2007 sqft,2012-05-21 00:00:00,mw,0,0,10,N, , ,40.06595469197176,-75.07090366873909
A,156,Police Administration Building (HQ),700-734 Race Street,Police Administration Building (HQ),11100E,0, ,A13,A13.2,B1,C45, ,Police Operations\Unit,Y,Owned,POLICE,DPP,781379300,CITY OF PHILA,126000.0,100,6,1956,2.53999996,M,Central,1.0, , ,2012-06-06 00:00:00,Dept per MDO request. PICA 2007 sqft,2012-05-21 00:00:00,mw,0,57,1,N, , ,39.9545123941367,-75.15204042770817
A,3043,"Moore, Cecil B. Recreation Center Baseball Field",2020-50 W Lehigh Avenue,Cecil B Moore Recreation Center, ,0, ,A11,A11.3,B3,C87, ,Baseball Field,Y,Owned,Public use,PPR,785314600,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,5.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,mw,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=796, ,39.994018999151066,-75.16694123603774
A,908,Cruz Recreation Center,1400-52 N 05th Street,Cruz Recreation Center,16198E,0, ,A11,A11.3,B3,C50,D18,Recreation Center,Y,Owned,Public use,PPR,781479700,CITY OF PHILA,0.0,0,1,0,4.80987882,C,Lower North,7.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,7,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=729, ,39.973227052354645,-75.1454206900376
A,3044,Cruz Recreation Center Athletic Field,1400-52 N 05th Street,Cruz Recreation Center, ,0, ,A11,A11.3,B3,C3, ,Athletic Field,Y,Owned,Public use,PPR,781479700,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,7.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,7,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=729, ,39.973859849931536,-75.14473178005268
A,2156,Cruz Recreation Center Baseball Field,1400-52 N 05th Street,Cruz Recreation Center, ,0, ,A11,A11.3,B3,C87, ,Baseball Field,Y,Owned,Public use,PPR,781479700,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,7.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,7,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=729, ,39.973476186978914,-75.14515860503722
A,2459,Dendy Playground Athletic Field,1501-39 N 10th Street,Dendy Playground, ,0, ,A11,A11.3,B3,C87, ,Baseball Field,Y,Owned,Public use,PPR,781621700,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,5.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=864, ,39.97509432656993,-75.15080555247228
A,3045,Dendy Playground Athletic Field,1501-39 N 10th Street,Dendy Playground, ,0, ,A11,A11.3,B3,C3, ,Athletic Field,Y,Owned,Public use,PPR,781621700,CITY OF PHILA,0.0,0,0,0,0.0,C,Lower North,5.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=864, ,39.97544652578542,-75.15056742332709
A,2191,East Poplar Playground Play Equipment,800-82 N 08th Street,East Poplar Playground, ,0, ,A11,A11.3,B2,C42, ,Playground Equipment,Y,Owned,Public use,PPR,781561500,CITY OF PHILA,0.0,0,0,0,0.0,C,Central,5.0, , ,2012-08-28 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N, , ,39.96635205863347,-75.15108314098536
A,3046,East Poplar Playground Athletic Field,800-82 N 08th Street,East Poplar Playground, ,0, ,A11,A11.3,B3,C3, ,Athletic Field,Y,Owned,Public use,PPR,781561500,CITY OF PHILA,0.0,0,0,0,0.0,C,Central,5.0, , ,2013-11-12 00:00:00,PPR Data,2012-08-28 00:00:00,vm,0,0,5,N, , ,39.965880504324275,-75.15131433865285
