id,name,cn,operating_status,sponsor,day,start_time,end_time,at_place,zip_code,lat,lon,descr,website,vendors
11,Walnut Hill Farm Stand,11,Closed for season,farm_to_city,Thursday,4:00 PM,7:00 PM,4610 Market Street adjacent to the SEPTA 46th St. L Station,19139,39.9587178631,-75.2143549919,vegetables grown without pesticides/herbicides,https://www.theenterprisecenter.com/,"vendors not known 
"
14,Chestnut Hill Farmers Market,10,Year Round Market,farm_to_city,Saturday,9:30 AM,1:30 PM,Winston Road between Germantown Avenue and Mermaid Lane,19118,40.0677596899,-75.1971244812,,https://www.facebook.com/ChestnutHillFarmersMarket,"Davidsons Exotic Mushrooms, Fahnestock Fruit Farm, Good Spoon, Landisdale Farm, Lucky Old Souls burger truck, Market Day Canele, Otolith Sustainable Seafood, Rineer Family Farms, Stryker Farm, Taproot Farm, Tassot Apiaries, Wonderful Good Market
"
3,The Porch at 30th Street Station,11,Closed for season,farm_to_city,Wednesday,11:00 AM,2:30 PM,"On The Porch, in between the south side of 30th St. Station and Market St.",19104,39.9551815669,-75.1821470261,"IPM fruits & vegetables, cider, honey, fresh-pressed lemonade; The McCann's Farm",http://universitycity.org/the-porch,"The McCanns Farm
"
9,Bala Cynwyd Farmers Market,11,Closed for season,farm_to_city,Thursday,2:30 PM,6:30 PM,GSB building parking lot on Belmont Ave. near St. Asaph's Rd,19004,40.0056428125,-75.2219295502,chemical-free & IPM vegetables - IPM fruit - cows'-milk cheese - pastured meats and eggs - European-style bread and sweet baked goods - artisan chocolate - hummus - gelato - cupcake truck.,http://balacynwydfarmersmarket.weebly.com/,"Blue Mountain Vineyards, Davidsons Exotic Mushrooms, Down to Earth Harvest, Frecon Farms, FreshaPeel Hummus, Fruitwood Farms, Green Zebra, Jennie & Frank Artisan Gelato, Jimmies Cupcake Co., John and Kira's, Livengood Family Farm, Neil's Knife Sharpening Service, Sarah Bakes, Wonderful Good Market

"
8,Weavers Way Farmers Market,11,Closed for season,farm_to_city,Thursday,3:00 PM,7:00 PM,Carpenter Lane at Greene Street,19119,40.0451603612,-75.1973390579,IPM fruit and vegetables - gourmet popsicles.,http://weaversway.coop/,"Weavers Way Farm
"
2,University Square Farmers Market,10,Currently Operating,farm_to_city,Wednesday,10:00 AM,3:00 PM,36th and Walnut Streets,19104,39.9534215753,-75.194849968,"IPM vegetables, fruit, & berries - mushrooms - canned & baked goods - artisan chocolates - gourmet popsicles",http://universitycity.org/farmersmarkets,"Beechwood Orchards, Rineer Family Farms
"
22,Dickinson Square Farmers Market,11,Closed for season,farm_to_city,Sunday,10:00 AM,2:00 PM,Southeast corner of Dickinson Square on Moyamensing near Morris Street,19148,39.927329,-75.151015,,http://www.dickinsonsquare.org/farmers-market.html,"vendors not known 
"
33,Frankford Transportation Center Farmers Market,11,Closed for season,food_trust,Tuesday,2:00 PM,6:00 PM,Bustleton & Frankford Avenues,19124,40.023589,-75.076858,Established in 2011 this market is located in Northeast Philadelphia in the bustling transportation hub of the Frankford Transportation Center next to the SEPTA police station.  A convenient stop for commuters this market is one of only two farmersâ markets in Philadelphiaâs Northeast.,http://thefoodtrust.org/farmers-markets/market/frankford-transportation-center,"Root Mass Farm
"
34,West Oak Lane Farmers Market,11,Closed for season,food_trust,Tuesday,2:00 PM,6:00 PM,Ogontz & 72nd Avenues,19138,40.064311,-75.153612,Established in 2003 this market is located in the West Oak Lane neighborhood of Philadelphia and was opened in partnership with the Ogontz Avenue Revitalization Corporation.  Itâs frequented by seniors and regulars who eagerly anticipate the start of farmersâ market season every year.,http://thefoodtrust.org/farmers-markets/market/west-oak-lane,"Buckview Produce, Quarryville Orchard
"
25,Hunting Park Farmers Market,11,Closed for season,food_trust,Saturday,10:00 AM,2:00 PM,Old York Road and Hunting Park Avenue,19140,40.016999,-75.147325,Established in 2011 this market is located in the beautiful and spacious 88-acre Hunting Park. This market is a welcomed addition to a variety of revitalization and health initiatives in the community.,http://thefoodtrust.org/farmers-markets/market/hunting-park,"Mount Pleasant
"
37,Broad & South Famers Market,11,Closed for season,food_trust,Wednesday,2:00 PM,7:00 PM,Broad & South Streets,19146,39.9437,-75.165435,"Established in 1998, this market is located right outside the Broad and South subway stop along Broad Street. The market features a top-notch farm stand display featuring Amish goods and fresh produce. 

Note: The market will be temporarily location between Lombard and South sts. before officially moving in front of the University of Arts' Arts Bank building in early July.",http://thefoodtrust.org/farmers-markets/market/broad-and-south,"Hilltop Farm, Solly Bros. Farm
"
36,58th & Chester Farmers Market,11,Closed for season,food_trust,Wednesday,2:00 PM,6:00 PM,58th Street & Chester Avenue,19143,39.93572,-75.228456,Established in 2011 this market is located in Southwest Philadelphia next to FJ Meyers Recreation Center. Children from the rec center love to browse the market ask questions of the vendors and sometimes pool their allowances together to buy melons for snacks in the summer!,http://thefoodtrust.org/farmers-markets/market/58th-chester,"Mount Pleasant
"
40,Cecil B. Moore Famers Market,11,Closed for season,food_trust,Thursday,2:00 PM,6:00 PM,Cecil B. Moore Avenue and Broad Street,19122,39.978682,-75.15786,Established in 2009 this market is located in the Temple University area of North Philadelphia and serves both Temple students and faculty and the nearby Yorktown community.,http://thefoodtrust.org/farmers-markets/market/cecil-b-moore,Mount Pleasant
44,Oxford Circle Farmers Market,11,Closed for season,food_trust,Thursday,2:00 PM,6:00 PM,900 East Howell Street,19149,40.038491,-75.091191,Established in 2004 this market is hosted by Oxford Circle Mennonite Church in Northeast Philadelphia. The market exists within one of the most ethnically diverse neighborhoods in the city where a number of different immigrant communities reside. Itâs one of only two farmersâ markets located in Northeast Philadelphia.,http://thefoodtrust.org/farmers-markets/market/oxford-circle,"John Esch Produce
"
46,Germantown Farmers Market,11,Closed for season,food_trust,Friday,2:00 PM,6:00 PM,6026 Germantown Avenue,19144,40.039978,-75.178469,Established in 2007 this market is located in Germantown in front of the historic Wyck House. Freshly grown produce and pastured eggs harvested from the grounds of the Wyck House are sold at this market and customers are always welcome to tour their urban farm.,http://thefoodtrust.org/farmers-markets/market/germantown,"Riehl Family Farm, Wyck House
"
24,Fitler Square Farmers Market,10,Year Round Market,food_trust,Saturday,9:00 AM,2:00 PM,23rd and Pine Streets,19103,39.947747,-75.179168,Established in 2003 this market is located in picturesque Fitler Square Park. The year-round market is a regular Saturday morning routine for residents of the neighborhood.,http://www.fitlersquare.org/farmers.html,"Big Sky Bakery, Brogue Hydroponics, Highland Orchards, Jennings 1785 Farm, Philly Fair Trade Roasters
"
1,Rittenhouse Farmers Market (Tuesday),11,Closed for season,farm_to_city,Tuesday,10:00 AM,1:00 PM,Walnut Street west of 18th,19103,39.950263,-75.171711,IPM fruits and vegetables - beef and eggs from pastured animals - baked goods - chocolates - fresh-pressed lemonade,http://www.farmtocity.org/FarmersMarkets.asp,"Hands on the Earth Orchard, Rineer Family Farms
"
26,Overbrook Farmers Market,11,Closed for season,food_trust,Saturday,9:00 AM,1:00 PM,Lancaster and City Avenues,19151,39.988448,-75.253926,Established in 2008 this market is located at the Overbrook Presbyterian Church and has a loyal following of residents in the neighborhood who make this market a regular part of their Saturday mornings.,http://thefoodtrust.org/farmers-markets/market/overbrook,"Anchor Nursery, Apple Tree Goat Dairy, Forest View Bakery, Homestead Garden, Jennings 1785 Farm, Urban Tree Connection/Neighborhood Foods, Walnut Springs Farm
"
