objectid,facil_id,instit_id,facil_name,facil_addr,grade_leve,grade_org,facil_tele,zipcode,tencode,st_code,facil_type,instit_typ,enrollment,active,cartodb_id,created_at,updated_at,longitude_0,latitude_0,geojson
16,4020,402,Overbrook High,5898 Lancaster Ave.,High School,9-12,581-5507,19131,4890005700,48900,School,District,1934,O,149,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.238330429565,39.9809635394649,"{""type"":""Point"",""coordinates"":[-75.23833,39.98096]}"
35,6450,645,"Dobson, James",4667 Umbria,Elementary School,K-8,487-4460,19127 - 1929,7884004665,78840,School,District,291,O,1,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2302568858098,40.0313486483925,"{""type"":""Point"",""coordinates"":[-75.23026,40.03135]}"
36,7250,725,"Edmunds, Henry R.",1197 Haworth St.,Elementary School,K-8,537-2520,19124 - 2505,4126001197,41260,School,District,1273,O,2,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.0872134352576,40.0250684147378,"{""type"":""Point"",""coordinates"":[-75.08721,40.02507]}"
542,NO AU NUMBER,,St Charles Montessori,1947 Christian St,,,,19146,2306001947,23060,School,UNKNOWN,0,C,548,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1754644931379,39.9414385687981,"{""type"":""Point"",""coordinates"":[-75.17546,39.94144]}"
37,5280,528,Fairhill,601 W. Somerset St.,Elementary School,K-8,227-4406,19133 - 2307,8791002800,87910,School,District,680,O,3,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1421315078567,39.9945030814258,"{""type"":""Point"",""coordinates"":[-75.14213,39.9945]}"
38,4460,446,"Duckrey, Tanner",1501 W. Diamond St.,Elementary School,K-7,684-5066,19121 - 2310,2844001501,28440,School,District,431,O,4,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1589093365244,39.9857609194347,"{""type"":""Point"",""coordinates"":[-75.15891,39.98576]}"
39,4100,410,"Beeber, Dimner",5925  Malvern Ave.,Middle School,6-8,581-5513,19131,5308005901,53080,School,District,816,O,5,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2420655876439,39.9864525325196,"{""type"":""Point"",""coordinates"":[-75.24207,39.98645]}"
40,5400,540,Richmond,2944 Belgrade St.,Elementary School,K-5,291-4718,19134 - 4956,1658002942,16580,School,District,720,O,6,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1104185232771,39.9833909271381,"{""type"":""Point"",""coordinates"":[-75.11042,39.98339]}"
41,2420,242,"Reynolds, General John",1429 N. 24th St.,Elementary School,K-8,684-5061,19121 - 3801,4602002300,46020,School,District,513,O,7,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1739897566745,39.9776092438827,"{""type"":""Point"",""coordinates"":[-75.17399,39.97761]}"
42,1420,142,"Washington, Martha",728-62 N 44th St.,Elementary School,K-8,823-8203,19104 - 1312,8866000728,88660,School,District,369,O,8,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2113781961616,39.966026048648,"{""type"":""Point"",""coordinates"":[-75.21138,39.96603]}"
